what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.300.v200806051910,org.eclipse.wst.xml.core,1312142208158
started,bundle,org.eclipse.wst.common.modulecore,1.1.200.v200806091800,org.eclipse.wst.common.modulecore,1312142208219
started,bundle,org.eclipse.wst.validation,1.2.0.v200806051402,org.eclipse.wst.validation,1312142208230
started,bundle,org.eclipse.jst.j2ee,1.1.200.v200806051600,org.eclipse.jst.j2ee,1312142208326
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.0.v200805151903,org.eclipse.jst.common.project.facet.core,1312142208327
started,bundle,org.eclipse.jst.jee.ui,1.0.100.v200805221242,org.eclipse.jst.jee.ui,1312142209714
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142210214
started,bundle,org.eclipse.wst.html.core,1.1.200.v200806050300,org.eclipse.wst.html.core,1312142211956
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142213455
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142220332
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1312142224057
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1312142224799
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1312142225237
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142275861
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1312142276129
started,bundle,org.eclipse.wst.sse.ui,1.1.0.v200806041847,org.eclipse.wst.sse.ui,1312142276218
started,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1312142276233
started,bundle,org.eclipse.jst.jsp.core,1.2.100.v200806050300,org.eclipse.jst.jsp.core,1312142276235
started,bundle,org.eclipse.wst.wsdl.validation,1.1.301.v200805140300,org.eclipse.wst.wsdl.validation,1312142276332
started,bundle,org.eclipse.wst.xsd.core,1.1.300.v200805282012,org.eclipse.wst.xsd.core,1312142276333
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142300969
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142314193
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142315648
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142318034
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1312142319156
